Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-4.0, -4.0, 0.5000000000000046, 0.5000000000000044, 1.0000000000000089, -3.800052981859684e-17, 3.800052981859688e-17, 1.0000000000000089, 3.180671941081136e-17, -3.180671941081106e-17, 1.0000000000000089, 1.1981787320512952e-17, -1.1981787320512778e-17, 1.0000000000000089, -9.55968213803828e-18, 9.559682138038292e-18, 1.0000000000000089, -1.7134684954058375e-18, 1.7134684954054493e-18, 1.0000000000000089, -2.3024587442542884e-17, 2.3024587442543044e-17, 1.0000000000000089, -4.575547183705828e-19, -4.575547183705823e-19, 1.0000000000000089
-4.0, -3.9, 0.49999999999999467, 0.4999999999999948, 0.9999999999999893, 1.1028779503778078e-17, -1.1028779503780201e-17, 0.9999999999999893, -2.7887692219196053e-17, 2.788769221919629e-17, 0.9999999999999893, 1.4675241291383767e-18, -1.467524129136337e-18, 0.9999999999999893, -5.276153142947879e-18, 5.276153142944064e-18, 0.9999999999999893, 2.3110685515134668e-18, -2.311068551508292e-18, 0.9999999999999893, 3.235525903049184e-17, -3.2355259030496296e-17, 0.9999999999999893, -1.905145803057875e-18, -1.905145803057875e-18, 0.9999999999999893
-4.0, -3.8, 0.5000000000000039, 0.5000000000000039, 1.0000000000000078, -3.1733325772344197e-17, 3.1733325772341664e-17, 1.0000000000000078, 1.1224489295809362e-17, -1.1224489295809365e-17, 1.0000000000000078, 2.664550879755866e-17, -2.664550879755584e-17, 1.0000000000000078, -4.5912859997306305e-17, 4.5912859997302064e-17, 1.0000000000000078, 1.1220773331816138e-17, -1.1220773331811184e-17, 1.0000000000000078, 3.019834267809167e-18, -3.019834267813059e-18, 1.0000000000000078, 1.5110463952710973e-19, 1.5110463952710922e-19, 1.0000000000000078
-4.0, -3.6999999999999997, 0.49999999999999817, 0.49999999999999817, 0.9999999999999963, 2.948488976229842e-18, -2.9484889762361932e-18, 0.9999999999999963, -1.696901300815591e-18, 1.6969013008167543e-18, 0.9999999999999963, 2.1076185929794306e-17, -2.1076185929789376e-17, 0.9999999999999963, -1.4526555173946304e-17, 1.452655517393657e-17, 0.9999999999999963, 6.370230833232632e-18, -6.370230833219761e-18, 0.9999999999999963, 1.798787629051903e-17, -1.7987876290529606e-17, 0.9999999999999963, 1.5962693964530315e-18, 1.5962693964530333e-18, 0.9999999999999963
-4.0, -3.5999999999999996, 0.5000000000000069, 0.500000000000007, 1.000000000000014, 5.258271832664035e-17, -5.258271832664496e-17, 1.000000000000014, -4.4181676865085557e-17, 4.418167686508755e-17, 1.000000000000014, -2.1380466925914698e-17, 2.1380466925917062e-17, 1.000000000000014, 2.757184290056853e-18, -2.757184290062663e-18, 1.000000000000014, 4.182394488793979e-18, -4.182394488783673e-18, 1.000000000000014, 2.906807769998891e-17, -2.9068077699998276e-17, 1.000000000000014, 3.5115509527840286e-19, 3.5115509527840286e-19, 1.000000000000014
-4.0, -3.4999999999999996, 0.499999999999996, 0.49999999999999606, 0.999999999999992, -1.0603676293357835e-17, 1.0603676293357276e-17, 0.999999999999992, -1.2036746575692612e-17, 1.2036746575692868e-17, 0.999999999999992, -2.1998000915265053e-18, 2.19980009152665e-18, 0.999999999999992, 6.517421861767641e-18, -6.517421861768237e-18, 0.999999999999992, -3.6732874143682222e-19, 3.673287414379308e-19, 0.999999999999992, 5.556760815284991e-18, -5.5567608152859096e-18, 0.999999999999992, 3.2995403294449747e-19, 3.2995403294449747e-19, 0.999999999999992
-4.0, -3.3999999999999995, 0.5000000000000122, 0.5000000000000122, 1.0000000000000244, 3.781545720677905e-17, -3.781545720678125e-17, 1.0000000000000244, -3.144934372952848e-17, 3.14493437295291e-17, 1.0000000000000244, -1.2862006755361343e-17, 1.2862006755362651e-17, 1.0000000000000244, 2.6411325261904994e-17, -2.6411325261907973e-17, 1.0000000000000244, -7.425995541964807e-18, 7.425995541970238e-18, 1.0000000000000244, 2.1505133080085864e-17, -2.1505133080090628e-17, 1.0000000000000244, 9.959821381411496e-19, 9.959821381411493e-19, 1.0000000000000244
-4.0, -3.2999999999999994, 0.49999999999999756, 0.49999999999999756, 0.9999999999999951, 5.012836186326461e-17, -5.0128361863265003e-17, 0.9999999999999951, -3.39935196494209e-17, 3.3993519649420926e-17, 0.9999999999999951, -4.170625149092538e-17, 4.1706251490925683e-17, 0.9999999999999951, 5.282303919402092e-17, -5.2823039194021536e-17, 0.9999999999999951, -8.306469980667796e-18, 8.306469980668551e-18, 0.9999999999999951, 3.5113086153046114e-17, -3.5113086153046805e-17, 0.9999999999999951, 3.5279947815640525e-19, 3.5279947815640534e-19, 0.9999999999999951
-4.0, -3.1999999999999993, 0.4999999999999941, 0.4999999999999941, 0.9999999999999882, -1.3306825985954215e-17, 1.330682598595254e-17, 0.9999999999999882, 3.1895595528966344e-17, -3.189559552896633e-17, 0.9999999999999882, 2.1463703987413883e-17, -2.1463703987412262e-17, 0.9999999999999882, -3.183176695064866e-17, 3.183176695064578e-17, 0.9999999999999882, 2.139314462920276e-18, -2.1393144629171423e-18, 0.9999999999999882, -3.0089556064603407e-17, 3.008955606460098e-17, 0.9999999999999882, -1.6673819311163532e-19, -1.6673819311163532e-19, 0.9999999999999882
-4.0, -3.099999999999999, 0.4999999999999998, 0.4999999999999998, 0.9999999999999996, 4.732471990913843e-18, -4.732471990914741e-18, 0.9999999999999996, -7.190286390062018e-18, 7.190286390062123e-18, 0.9999999999999996, -1.060851826068969e-18, 1.0608518260697436e-18, 0.9999999999999996, -1.3656049863492967e-17, 1.3656049863491534e-17, 0.9999999999999996, 2.385418225953857e-18, -2.3854182259519585e-18, 0.9999999999999996, 3.2631840726147062e-18, -3.2631840726163094e-18, 0.9999999999999996, -7.016264202738604e-20, -7.016264202738588e-20, 0.9999999999999996
