Delta, delta, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-1.5,0,-1.02161914317762E-15,3.12295058865026E-17,3.29003716809348E-16,1.77243272104408E-16,-1.07564650444353E-15,1.55473246869618E-15,-1.28496105120427E-15,1.02161914317762E-15,-3.12295058865026E-17,-3.29003716809348E-16,-1.77243272104408E-16,1.07564650444353E-15,-1.55473246869618E-15,1.28496105120427E-15,1,1,1,1,1,1,1,1.00405653953767E-18,1.00405653953767E-18,1
-1.5,0.0125000001862645,-4.02719220733656E-16,-1.77718589936716E-16,-1.68621654606551E-16,-3.26211525638283E-16,3.72010067700731E-16,-6.51296285698481E-16,-1.91051623062882E-17,2.5546095466672E-16,4.082494723765E-16,-4.12893992254312E-16,8.78067705046106E-17,7.85567935262343E-17,-6.78288684628634E-16,-2.09856714021438E-16,1,1,1,1,1,1,1,2.43642915188455E-20,-2.36122221370865E-19,1
-1.5,0.025000000372529,-6.9795820910581E-18,-8.30121603590123E-17,-2.26413627336749E-16,-4.14426724842148E-16,5.21033100443492E-16,2.75980168995278E-16,-3.88434751232041E-16,-2.3468072184151E-16,-2.72915984295193E-17,-2.83443958628687E-16,8.77808168857111E-17,2.35144525319691E-16,1.84865192201157E-16,1.81962052948892E-16,1,1,1,1,1,1,1,2.57967292328915E-20,1.48145449844136E-19,1
-1.5,0.0375000014901161,-7.93293788948699E-16,-1.00586757290669E-16,-1.09149347180014E-16,6.4348775365554E-17,9.00725637861811E-17,1.82461789152882E-16,4.21405641052813E-16,4.2607374550425E-16,6.12518640917147E-16,2.91966592385723E-16,-1.84196102347275E-16,-2.16157355364699E-16,1.97854985077784E-16,1.50495493642444E-16,1,1,1,1,1,1,1,9.80787793810184E-20,-3.4944768427534E-20,1
-1.5,0.0500000007450581,7.32308104960659E-16,2.64327070210035E-17,-1.01418550262318E-16,-1.10704565845622E-16,7.290543337729E-16,-2.74238589846384E-16,1.35244493373563E-16,8.54604296837121E-17,-1.76829827381919E-16,-3.51790583921493E-17,4.76069891685714E-16,4.48584115916121E-17,2.95199028931123E-16,-3.77115426441408E-16,1,1,1,1,1,1,1,7.19578632026657E-21,-2.49212974949976E-20,1
-1.5,0.0625,-6.92928749149418E-16,2.30638310040298E-16,-2.04604845050665E-16,1.81512622561035E-16,-7.80344521304642E-17,9.71109178869417E-17,6.76329867998549E-17,6.92928749149418E-16,-2.30638310040298E-16,2.04604845050665E-16,-1.81512622561035E-16,7.80344521304642E-17,-9.71109178869417E-17,-6.76329867998549E-17,1,1,1,1,1,1,1,-1.08360225974625E-18,-1.08360225974625E-18,1
-1.5,0.0750000029802322,2.02619452761861E-16,1.74912343312682E-16,6.88786016883516E-17,-2.21992062412522E-16,6.1208513210172E-17,-1.24276356383796E-16,1.43464895187107E-16,-5.60834913937176E-16,-7.30418149462208E-17,4.62989320699944E-16,-8.73259453037845E-18,-3.33396767163498E-17,2.94951483552287E-16,-6.56549134051099E-17,1,1,1,1,1,1,1,1.86746492288474E-20,2.48983577732835E-20,1
-1.5,0.0874999985098839,-2.24396709540438E-16,-9.60315927713478E-17,-3.39629506904636E-16,4.72828614233927E-17,6.38823381443027E-17,3.24430612396901E-16,-4.28848228392761E-16,-4.30987965966423E-16,9.57476845327849E-17,-4.38983758465157E-17,1.56607180464019E-16,3.03258256256672E-16,-1.97330142287841E-16,-1.03149587821485E-16,1,1,1,1,1,1,1,-4.62147100703084E-20,8.50540871598122E-21,1
-1.5,0.100000001490116,-1.16030728870292E-16,9.00891007809873E-17,-8.40516153690812E-17,-1.48487350578072E-16,4.90639176015844E-16,3.96308345993244E-16,-2.90487381692241E-16,1.3363249703071E-16,4.51881588710002E-17,-3.01735529245525E-16,2.72873252144749E-16,2.09992318702338E-16,5.93090352085093E-17,1.74261716130073E-16,1,1,1,1,1,1,1,7.67558338729001E-21,-3.80307716900227E-21,1
-1.5,0.112499997019768,-1.9708565416855E-16,1.63904938404876E-16,9.32587510091721E-17,-2.30029200706993E-17,2.66503349314437E-17,-1.77587154246103E-16,4.71521768127767E-17,4.77550452337956E-16,-1.06381845695873E-16,-1.68789578888345E-16,5.17044422294872E-16,-4.68071836020825E-16,1.307741843502E-16,-2.72404525287562E-16,1,1,1,1,1,1,1,-1.29764095919163E-20,1.77470194862446E-20,1
