Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-4,-4,-3.08706186884954E-017,-2.80400496457308E-017,1.81231202481755E-017,2.20443715963443E-017,-3.39926365482869E-017,4.12813716030225E-017,5.04706666116619E-017,3.08706186884954E-017,2.80400496457308E-017,-1.81231202481755E-017,-2.20443715963443E-017,3.39926365482869E-017,-4.12813716030225E-017,-5.04706666116619E-017,1,1,1,1,1,1,1,-4.00613264182235E-020,-4.00613264182235E-020,1
-4,-3.90000009536743,-7.56958537200992E-017,-1.69940501449039E-017,-1.83667059134182E-018,7.25706131646412E-017,-2.9786674596361E-018,-4.75965250029504E-017,-4.49302704257858E-017,7.56958537200992E-017,1.69940501449039E-017,1.83667059134182E-018,-7.25706131646412E-017,2.9786674596361E-018,4.75965250029504E-017,4.49302704257858E-017,1,1,1,1,1,1,1,9.50382443950324E-020,9.50382443950324E-020,1
-4,-3.79999995231628,-4.00967993350098E-017,1.56232513968647E-017,1.13919611745823E-017,6.94986810909397E-018,-1.37989947185657E-017,-2.74905411571026E-018,1.64705573137211E-017,4.00967993350098E-017,-1.56232513968647E-017,-1.13919611745823E-017,-6.94986810909397E-018,1.37989947185657E-017,2.74905411571026E-018,-1.64705573137211E-017,1,1,1,1,1,1,1,4.6140403401907E-019,4.6140403401907E-019,1
-4,-3.70000004768372,-8.02469997960047E-018,-1.51238311758684E-017,-1.91812132918063E-017,2.9297853867734E-017,-1.46628092992923E-018,1.10019182188034E-017,-1.18359511955508E-017,8.02469997960047E-018,1.51238311758684E-017,1.91812132918063E-017,-2.9297853867734E-017,1.46628092992923E-018,-1.10019182188034E-017,1.18359511955508E-017,1,1,1,1,1,1,1,-5.87185841746919E-019,-5.87185841746919E-019,1
-4,-3.59999990463257,-3.72357602672012E-017,6.57339323146659E-017,-3.15254644922291E-017,-6.0380164618594E-018,-1.83855830021773E-017,2.70507151633378E-017,1.44365896706247E-017,3.72357602672012E-017,-6.57339323146659E-017,3.15254644922291E-017,6.0380164618594E-018,1.83855830021773E-017,-2.70507151633378E-017,-1.44365896706247E-017,1,1,1,1,1,1,1,1.71418228077104E-019,1.71418228077104E-019,1
-4,-3.5,4.31851674874827E-017,-3.72905063888624E-017,-3.18660048242499E-017,3.15517291310389E-017,-1.32655021009578E-017,-5.64779996358792E-017,5.87942972569298E-017,-4.31851674874827E-017,3.72905063888624E-017,3.18660048242499E-017,-3.15517291310389E-017,1.32655021009578E-017,5.64779996358792E-017,-5.87942972569298E-017,1,1,1,1,1,1,1,7.69095020587274E-020,7.69095020587274E-020,1
-4,-3.40000009536743,1.30142981022734E-017,-5.53791423044811E-018,-5.33676615663369E-017,1.00218741327422E-016,-8.14720757898917E-017,4.54696682857867E-017,2.6101752057921E-017,-1.30142981022734E-017,5.53791423044811E-018,5.33676615663369E-017,-1.00218741327422E-016,8.14720757898917E-017,-4.54696682857867E-017,-2.6101752057921E-017,1,1,1,1,1,1,1,-5.55127629926814E-020,-5.55127629926814E-020,1
-4,-3.29999995231628,-3.84075211618866E-017,1.95871008922188E-017,-5.33875188641219E-018,-5.05823508836075E-018,-3.02950697270035E-017,-1.12458256573044E-017,-6.29966063792707E-017,3.84075211618866E-017,-1.95871008922188E-017,5.33875188641219E-018,5.05823508836075E-018,3.02950697270035E-017,1.12458256573044E-017,6.29966063792707E-017,1,1,1,1,1,1,1,5.21071796314439E-020,5.21071796314439E-020,1
-4,-3.20000004768372,2.08891546447821E-016,-4.84093060554001E-017,-1.10912150542655E-019,2.92833947506266E-017,2.57376751287507E-017,7.86461871418281E-019,9.50435404189043E-018,-2.08891546447821E-016,4.84093060554001E-017,1.10912150542655E-019,-2.92833947506266E-017,-2.57376751287507E-017,-7.86461871418281E-019,-9.50435404189043E-018,1,1,1,1,1,1,1,7.1516530034126E-020,7.1516530034126E-020,1
-4,-3.09999990463257,1.02587131474729E-016,9.73367415028912E-018,-7.59138257376743E-017,9.68039296549274E-018,-1.01477571253385E-016,4.19027529878947E-017,1.14888875517834E-016,-1.02587131474729E-016,-9.73367415028912E-018,7.59138257376743E-017,-9.68039296549274E-018,1.01477571253385E-016,-4.19027529878947E-017,-1.14888875517834E-016,1,1,1,1,1,1,1,-9.38582534797671E-021,-9.38582534797671E-021,1
-4,-3,-7.12666142141493E-018,7.62729098046672E-018,-1.6258016564048E-017,-7.04104326493201E-018,2.71348493578018E-017,3.37471955169302E-017,-6.13879146229643E-018,7.12666142141493E-018,-7.62729098046672E-018,1.6258016564048E-017,7.04104326493201E-018,-2.71348493578018E-017,-3.37471955169302E-017,6.13879146229643E-018,1,1,1,1,1,1,1,5.39206891139354E-020,5.39206891139354E-020,1
-4,-2.90000009536743,4.55402797315967E-018,-3.04703592249708E-017,-8.99199423457202E-018,3.24114047067755E-017,-9.43633477332504E-019,2.04665857892647E-017,4.23378665337099E-018,-4.55402797315967E-018,3.04703592249708E-017,8.99199423457202E-018,-3.24114047067755E-017,9.43633477332504E-019,-2.04665857892647E-017,-4.23378665337099E-018,1,1,1,1,1,1,1,4.88350340739431E-020,4.88350340739431E-020,1
-4,-2.79999995231628,1.05463853886951E-016,1.18273129484139E-017,2.39321780795639E-017,4.41163048506989E-018,-2.25934094192039E-017,2.17560677200063E-017,-2.21489983633037E-017,-1.05463853886951E-016,-1.18273129484139E-017,-2.39321780795639E-017,-4.41163048506989E-018,2.25934094192039E-017,-2.17560677200063E-017,2.21489983633037E-017,1,1,1,1,1,1,1,-2.29294078058787E-020,-2.29294078058787E-020,1
-4,-2.70000004768372,-8.04188895816545E-017,-3.45515790318013E-017,5.08725878810371E-018,-1.22051253770918E-016,3.41772566435639E-017,3.34975259382821E-017,-3.79216088002934E-017,8.04188895816545E-017,3.45515790318013E-017,-5.08725878810371E-018,1.22051253770918E-016,-3.41772566435639E-017,-3.34975259382821E-017,3.79216088002934E-017,1,1,1,1,1,1,1,3.42409758589514E-021,3.42409758589514E-021,1
-4,-2.59999990463257,-3.61776771497376E-017,1.22588679632338E-017,-2.29343881569493E-017,4.5458591510204E-018,-2.77240190888503E-018,4.71180688473987E-018,-2.29821197870161E-017,3.61776771497376E-017,-1.22588679632338E-017,2.29343881569493E-017,-4.5458591510204E-018,2.77240190888503E-018,-4.71180688473987E-018,2.29821197870161E-017,1,1,1,1,1,1,1,-2.1433529216259E-020,-2.1433529216259E-020,1
-4,-2.5,-3.73363983692468E-017,1.81146780428437E-017,5.8043263582846E-019,-3.24151981570646E-018,-4.85120948270384E-017,1.55974168919734E-017,-5.30219794796286E-018,3.73363983692468E-017,-1.81146780428437E-017,-5.8043263582846E-019,3.24151981570646E-018,4.85120948270384E-017,-1.55974168919734E-017,5.30219794796286E-018,1,1,1,1,1,1,1,-1.60233356386555E-021,-1.60233356386555E-021,1
-4,-2.40000009536743,-1.72504877153239E-017,-2.32083156342412E-017,-6.28053357518688E-017,-1.32639594091154E-017,-9.18561074619108E-018,-1.34701052254728E-017,-4.38930818905953E-017,1.72504877153239E-017,2.32083156342412E-017,6.28053357518688E-017,1.32639594091154E-017,9.18561074619108E-018,1.34701052254728E-017,4.38930818905953E-017,1,1,1,1,1,1,1,-7.03398526880722E-021,-7.03398526880722E-021,1
-4,-2.29999995231628,-5.0362398595646E-017,3.03263470803253E-017,2.61026706419913E-018,-4.0960713384205E-017,-3.00835232484267E-017,-1.86224776034451E-017,-3.9916252277069E-017,5.0362398595646E-017,-3.03263470803253E-017,-2.61026706419913E-018,4.0960713384205E-017,3.00835232484267E-017,1.86224776034451E-017,3.9916252277069E-017,1,1,1,1,1,1,1,1.97640953709873E-021,1.97640953709873E-021,1
-4,-2.20000004768372,1.0970120238004E-016,-3.68421976579158E-017,-1.54395287925523E-018,3.3701584777954E-017,3.70834068332587E-017,4.61468942881737E-017,-4.14332452722096E-017,-1.0970120238004E-016,3.68421976579158E-017,1.54395287925523E-018,-3.3701584777954E-017,-3.70834068332587E-017,-4.61468942881737E-017,4.14332452722096E-017,1,1,1,1,1,1,1,4.22767527821556E-021,4.22767527821556E-021,1
-4,-2.09999990463257,1.76109346450941E-016,-7.01287230568254E-017,-5.37924320457727E-017,-2.90372291090533E-017,2.11350122442954E-017,-1.64951839281229E-018,-1.52831643598196E-017,-1.76109346450941E-016,7.01287230568254E-017,5.37924320457727E-017,2.90372291090533E-017,-2.11350122442954E-017,1.64951839281229E-018,1.52831643598196E-017,1,1,1,1,1,1,1,-4.2665955800646E-021,-4.2665955800646E-021,1
-4,-2,4.31798180070637E-019,3.37822315789555E-017,-5.32733894462855E-017,-9.38465438980911E-018,-4.18023249897247E-018,1.48816740515435E-017,-5.62216398204368E-017,-4.31798180070637E-019,-3.37822315789555E-017,5.32733894462855E-017,9.38465438980911E-018,4.18023249897247E-018,-1.48816740515435E-017,5.62216398204368E-017,1,1,1,1,1,1,1,1.57195610307859E-020,1.57195610307859E-020,1
-4,-1.89999997615814,-1.02262089198665E-016,4.13404852383179E-017,-1.85117247368692E-017,2.42673388424708E-018,8.01953919975875E-018,2.56930619695933E-017,7.42975859582783E-018,1.02262089198665E-016,-4.13404852383179E-017,1.85117247368692E-017,-2.42673388424708E-018,-8.01953919975875E-018,-2.56930619695933E-017,-7.42975859582783E-018,1,1,1,1,1,1,1,-4.90070343269787E-021,-4.90070343269787E-021,1
-4,-1.79999995231628,3.77261956523838E-017,-5.47242179185892E-017,7.20986255614796E-018,4.79064331825271E-017,-3.82113999473727E-017,3.47393622657406E-017,-4.06281603081791E-017,-3.77261956523838E-017,5.47242179185892E-017,-7.20986255614796E-018,-4.79064331825271E-017,3.82113999473727E-017,-3.47393622657406E-017,4.06281603081791E-017,1,1,1,1,1,1,1,-1.30153824003472E-020,-1.30153824003472E-020,1
-4,-1.70000004768372,9.31480676257676E-017,-3.61950371892533E-018,-2.64658786179281E-017,7.80162144523186E-017,3.80430190618815E-017,-3.29214310375859E-017,2.50666744876538E-017,-9.31480676257676E-017,3.61950371892533E-018,2.64658786179281E-017,-7.80162144523186E-017,-3.80430190618815E-017,3.29214310375859E-017,-2.50666744876538E-017,1,1,1,1,1,1,1,1.29356176323726E-020,1.29356176323726E-020,1
-4,-1.60000002384186,1.92692292794489E-016,-1.09548551161077E-016,3.54669106278729E-017,-2.6852889956762E-017,-8.55016646372478E-018,-2.07442732160309E-018,7.89782288134403E-018,-1.92692292794489E-016,1.09548551161077E-016,-3.54669106278729E-017,2.6852889956762E-017,8.55016646372478E-018,2.07442732160309E-018,-7.89782288134403E-018,1,1,1,1,1,1,1,-2.88590088100093E-021,-2.88590088100093E-021,1
-4,-1.5,-7.40696431055995E-017,1.03421672340372E-017,2.81123319963781E-017,-2.02085285992053E-017,-5.08038367644247E-018,-1.89277089038384E-017,-8.26200486245214E-018,7.40696431055995E-017,-1.03421672340372E-017,-2.81123319963781E-017,2.02085285992053E-017,5.08038367644247E-018,1.89277089038384E-017,8.26200486245214E-018,1,1,1,1,1,1,1,1.88895942112825E-021,1.88895942112825E-021,1
-4,-1.39999997615814,1.66081521911744E-017,1.30858004216031E-017,9.65351373148783E-018,6.31113462563991E-017,-2.46672653657989E-017,-6.09506049126228E-018,1.54307581965174E-017,-1.66081521911744E-017,-1.30858004216031E-017,-9.65351373148783E-018,-6.31113462563991E-017,2.46672653657989E-017,6.09506049126228E-018,-1.54307581965174E-017,1,1,1,1,1,1,1,9.34872419724043E-022,9.34872419724043E-022,1
-4,-1.29999995231628,2.44580912412189E-017,-7.63860002836542E-017,-4.11497737850102E-017,-8.50101870044933E-018,1.07338792334972E-018,1.09745128979289E-016,8.45692583789719E-018,-2.44580912412189E-017,7.63860002836542E-017,4.11497737850102E-017,8.50101870044933E-018,-1.07338792334972E-018,-1.09745128979289E-016,-8.45692583789719E-018,1,1,1,1,1,1,1,8.56222810768665E-021,8.56222810768665E-021,1
-4,-1.20000004768372,-8.17193481991246E-018,2.03948394516543E-017,2.06724214128924E-017,-5.35472490947671E-017,3.97784142085157E-017,-1.90919803560466E-017,-1.44675824738158E-017,8.17193481991246E-018,-2.03948394516543E-017,-2.06724214128924E-017,5.35472490947671E-017,-3.97784142085157E-017,1.90919803560466E-017,1.44675824738158E-017,1,1,1,1,1,1,1,-9.52010669014572E-022,-9.52010669014572E-022,1
-4,-1.10000002384186,-2.09583109144585E-016,7.69212258446454E-017,-1.12291065173274E-016,1.23876861235157E-016,-1.21265882175246E-016,4.50826701818425E-017,1.41048588121276E-017,2.09583109144585E-016,-7.69212258446454E-017,1.12291065173274E-016,-1.23876861235157E-016,1.21265882175246E-016,-4.50826701818425E-017,-1.41048588121276E-017,1,1,1,1,1,1,1,-7.57713031514416E-021,-7.57713031514416E-021,1
-4,-1,9.43319020486739E-017,-4.78604154706895E-017,4.62067457685756E-017,-1.45484536475584E-018,1.06687737086395E-017,-8.98930655932571E-017,1.9813018806758E-017,-9.43319020486739E-017,4.78604154706895E-017,-4.62067457685756E-017,1.45484536475584E-018,-1.06687737086395E-017,8.98930655932571E-017,-1.9813018806758E-017,1,1,1,1,1,1,1,-4.73730379563486E-023,-4.73730379563486E-023,1
-4,-0.899999976158142,-1.07852883844902E-016,4.30854822975027E-017,-1.87993867210519E-017,-1.34629840275793E-017,-3.35791818996309E-017,-1.20110057742242E-017,1.15854213490656E-017,1.07852883844902E-016,-4.30854822975027E-017,1.87993867210519E-017,1.34629840275793E-017,3.35791818996309E-017,1.20110057742242E-017,-1.15854213490656E-017,1,1,1,1,1,1,1,6.20294456420745E-023,6.20294456420745E-023,1
